country,designation,points,price,province,region_1,region_2,variety,winery
US,Dutton Ranch Cherry Ridge Vineyard,88,35,California,Russian River Valley,Sonoma,Syrah,Dutton-Goldfield
Israel,Superieur Kosher,88,65,Galil,,,Cabernet Sauvignon,Barkan
Portugal,Reserva Branco,88,,Dão,,,Portuguese White,Borges
US,Old Vine 3 L,88,19,California,California,California Other,Zinfandel,Bota Box
US,,88,44,California,Sonoma Coast,Sonoma,Pinot Noir,Freeman
Italy,,88,23,Tuscany,Chianti Classico,,Sangiovese,Il Molino di Grace
US,Semi-Dry,88,15,New York,Finger Lakes,Finger Lakes,Riesling,Keuka Lake Vineyards
US,,88,12,California,California,California Other,Sauvignon Blanc,Joel Gott
Spain,Agnus de Valdelana Reserva,88,53,Northern Spain,Rioja,,Tempranillo Blend,Valdelana
Israel,Armon Kosher,88,35,Galilee,,,Red Blend,Zion Fine Wines
New Zealand,,88,15,Marlborough,,,Sauvignon Blanc,Sherwood Estate
Italy,Sono 500ml,88,,Central Italy,Sangiovese di Romagna,,Sangiovese,Tre Monti
Italy,Salco,88,80,Tuscany,Vino Nobile di Montepulciano,,Prugnolo Gentile,Salcheto
US,Ami's Vineyard,88,35,California,Howell Mountain,Napa,Cabernet Sauvignon,Bella Vetta
Italy,Assunto,88,60,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Bellaria
Italy,,88,20,Tuscany,Chianti Classico,,Sangiovese,Badia a Coltibuono
US,Reserve,88,25,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Hermann J. Wiemer
US,Kessler-Haak Vineyard,88,29,California,Sta. Rita Hills,Central Coast,Chardonnay,Kessler-Haak
US,Savant,88,45,California,Paso Robles,Central Coast,Syrah-Cabernet,Justin
Italy,Pasiteo,88,,Tuscany,Vino Nobile di Montepulciano,,Prugnolo Gentile,Fassati
Italy,Porpora Riserva,88,,Tuscany,Chianti,,Sangiovese,Fattoria di Casalbosco
Italy,Riserva,88,34,Tuscany,Chianti Rufina,,Sangiovese,Fattoria di Grignano
Italy,Casanuova di Nittardi,88,,Tuscany,Chianti Classico,,Sangiovese,Fattoria Nittardi
US,Terroir Coquerel,88,37,California,Calistoga,Napa,Sauvignon Blanc,Coquerel Family Wine Estates
Italy,,91,45,Piedmont,Barbera d'Alba,,Barbera,Sandrone
Argentina,Gran Reserva,91,25,Mendoza Province,Mendoza,,Red Blend,Septima
Spain,VS Reserva,91,100,Northern Spain,Ribera del Duero,,Red Blend,Val Sotillo
Australia,Gnarly Dudes,91,35,South Australia,Barossa Valley,,Shiraz,Two Hands
US,,91,18,California,Mendocino County,Mendocino/Lake Counties,Sauvignon Blanc,Patianna
Australia,,91,30,South Australia,Southern Flinders Ranges,,Shiraz,Flinders Run
France,Cuvée Particulière,91,22,Southwest France,Cahors,,Malbec,Château Lamartine
Italy,Alberta,91,60,Piedmont,Barbaresco,,Nebbiolo,Contratto
US,Guyzer Block,91,38,California,Russian River Valley,Sonoma,Syrah,Davis Family
Italy,Vigna Castellero,91,,Piedmont,Barolo,,Nebbiolo,Barale Fratelli
US,Fenaughty Vineyard,91,35,California,El Dorado,Sierra Foothills,Syrah,A Donkey and Goat
US,,91,45,California,Oakville,Napa,Cabernet Sauvignon,B Cellars
US,West Block,91,65,California,Knights Valley,Sonoma,Chardonnay,Knights Bridge
Italy,Terlo Ravera,91,50,Piedmont,Barolo,,Nebbiolo,Marziano Abbona
Argentina,Gran Reserva,91,35,Mendoza Province,Mendoza,,Malbec,Naiara
Italy,Bricco Francesco,91,,Piedmont,Barolo,,Nebbiolo,Rocche Costamagna
US,,91,25,California,Santa Barbara County,Central Coast,Syrah,Rusack
US,Paragon Vineyard,91,17,California,Edna Valley,Central Coast,Albariño,Tangent
US,Paragon Vineyard,91,20,California,Edna Valley,Central Coast,Riesling,Tangent
Argentina,Gran,91,32,Mendoza Province,Mendoza,,Malbec,Riglos
Italy,Vigna Cannubi,91,,Piedmont,Barolo,,Nebbiolo,Barale Fratelli
Australia,Graveyard Vineyard,91,125,New South Wales,Hunter Valley,,Shiraz,Brokenwood
Italy,Serraboella,91,75,Piedmont,Barbaresco,,Nebbiolo,Cigliuti
Italy,Ravera,91,,Piedmont,Barolo,,Nebbiolo,Elvio Cogno
Australia,Mount Edelstone Vineyard,91,110,South Australia,Eden Valley,,Shiraz,Henschke
Italy,Vigna Gattera,91,,Piedmont,Barolo,,Nebbiolo,Gianfranco Bovio
Australia,,91,29,Western Australia,Great Southern,,Shiraz,Plantagenet
Australia,Jimmy Section,91,37,South Australia,McLaren Vale,,Shiraz,Oliverhill
US,,91,35,California,Russian River Valley,Sonoma,Pinot Noir,WesMar
Italy,Castiglione,91,45,Piedmont,Barolo,,Nebbiolo,Vietti
New Zealand,,86,18,Martinborough,,,Sauvignon Blanc,Stonecrop
US,Red Wine,86,22,Washington,Washington,Washington Other,Red Blend,OS Winery
Chile,,86,9,Central Valley,,,Rosé,Oveja Negra
Chile,Reserva,86,10,Colchagua Valley,,,Merlot,Santa Carolina
Chile,Reserva,85,9,Maule Valley,,,Syrah,Chilensis
France,Cuvée Paul Cantin,85,22,Loire Valley,Sancerre,,Sauvignon Blanc,Eric Louis
New Zealand,Dry,85,18,Marlborough,,,Riesling,Forrest Estate
Australia,Nottage Hill,85,9,Australia Other,South Eastern Australia,,Chardonnay,Hardys
France,Sauvignon,85,11,Loire Valley,Vin de Pays du Jardin de la France,,Sauvignon Blanc,Fournier Père et Fils
US,,85,8,California,California,California Other,Merlot,Barefoot Cellars
Argentina,Finca La Escondida Reserva,85,13,Other,San Juan,,Cabernet Sauvignon,Andean
Italy,,85,12,Tuscany,Toscana,,Sangiovese,Castello di Monastero
France,,85,,Burgundy,Pouilly-Fuissé,,Chardonnay,Lupé-Cholet
Italy,Pinot Grigio,85,19,Northeastern Italy,Colli Orientali del Friuli,,Pinot Grigio,La Tunella
Argentina,Organica,85,10,Mendoza Province,Mendoza,,Chardonnay,Santa Julia
US,Reserve,85,23,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Snoqualmie
US,Reserve,85,8,California,California,California Other,Cabernet Sauvignon,Turning Leaf
US,Vintage Port,85,34,California,Paso Robles,Central Coast,Port,Robert Hall
Argentina,Rosé,85,12,Other,Calchaquí Valley,,Malbec,Michel Torino
US,,85,15,California,Sonoma County,Sonoma,Cabernet Sauvignon,Moon Mountain Vineyard
Chile,Rosé,85,9,Colchagua Valley,,,Cabernet Sauvignon-Syrah,Estampa
France,Fournier,85,19,Loire Valley,Menetou-Salon,,Sauvignon Blanc,Fournier Père et Fils
US,Valley Oaks,85,9,California,California,California Other,Riesling,Fetzer
US,Valley Oaks,85,9,California,California,California Other,Zinfandel,Fetzer
US,,85,28,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Gifford Hirlinger
Chile,Reserva,85,9,Central Valley,,,Carmenère,Chilensis
US,Shea Cuvée,85,20,California,Mendocino,Mendocino/Lake Counties,Pinot Noir,Dancing Bear Cellars
US,Late Harvest,85,32,California,Santa Cruz Mountains,Central Coast,Chardonnay,Cinnabar
Italy,,85,35,Central Italy,Sagrantino di Montefalco,,Sagrantino,Casale Triocco
Italy,Pinot Grigio,85,15,Central Italy,Umbria,,Pinot Grigio,Lungarotti
US,Russian Cuvée,92,38,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse
US,Coast Range Estate,92,24,Oregon,Yamhill-Carlton District,Willamette Valley,Riesling,Trisaetum
Portugal,Outeiro,92,35,Alentejano,,,Portuguese Red,Terras de Alter
Italy,Donna Lisa Riserva,92,,Southern Italy,Salice Salentino,,Red Blend,Leone de Castris
US,Seven Springs Vineyard Red Queen,92,75,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Evening Land
Italy,Giulio Ferrari Riserva del Fondatore,92,85,Northeastern Italy,Trento,,Chardonnay,Ferrari
Italy,Florus,92,20,Tuscany,Moscadello di Montalcino,,Moscadello,Castello Banfi
Italy,,92,50,Tuscany,Vin Santo del Chianti Classico,,White Blend,Castello d'Albola
France,Classe M,92,59,Champagne,Champagne,,Champagne Blend,Montaudon
Portugal,Grande Reserva,92,32,Alentejo,,,Portuguese Red,Monte da Penha
US,Pickberry,92,50,California,Sonoma Mountain,Sonoma,Bordeaux-style Red Blend,Ravenswood
Italy,,92,47,Tuscany,Vin Santo del Chianti Classico,,White Blend,Querciavalle
Portugal,Mux Tinto,92,30,Douro,,,Portuguese Red,Muxagat
Italy,Radici,92,60,Southern Italy,Taurasi,,Aglianico,Mastroberardino
US,,92,14,California,Lodi,Central Valley,Vermentino,Uvaggio
France,Quattuor Blanc de Blancs Brut,91,52,Champagne,Champagne,,Champagne Blend,Drappier
US,Fox Den Vineyard,91,58,California,Green Valley,Sonoma,Pinot Noir,Dutton-Goldfield
US,Zenith Vineyard,91,90,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Adelsheim
Italy,Passito,91,50,Central Italy,Montefalco Sagrantino,,Sagrantino,Arnaldo Caprai
France,Spécial Club Grand Cru Brut,91,85,Champagne,Champagne,,Champagne Blend,Henri Goutorbe
Portugal,AB,91,35,Alentejano,,,Alicante Bouschet,Herdade do Esporão
Portugal,Esporão Reserva,91,25,Alentejo,,,Portuguese Red,Herdade do Esporão
US,Ceja Vineyard Magnolia Series,91,22,California,Sonoma Valley,Sonoma,Chardonnay,Krutz
France,Grand Cellier d'Or Premier Cru Brut,91,93,Champagne,Champagne,,Champagne Blend,Vilmart & Co
US,Estate,91,38,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
France,Brut Millesimé,91,,Champagne,Champagne,,Champagne Blend,Montaudon
France,Volupté Premier Cru Brut,91,84,Champagne,Champagne,,Champagne Blend,René Geoffroy
Portugal,Special Selection Old Vineyards,91,,Bucelas,,,Arinto,Quinta do Boição
Portugal,Reserva Branco,91,,Alentejano,,,Portuguese White,Quinta do Quetzal
Chile,Potro de Piedra Family Reserve,91,25,Curicó Valley,,,Cabernet Sauvignon-Cabernet Franc,Viña Requingua
France,Grande Cuvée,88,,Provence,Côtes de Provence,,Rosé,Château Réal Martin
France,Prieuré de Cénac Mission,88,14,Southwest France,Cahors,,Malbec-Merlot,Château Saint-Didier-Parnac
Italy,Vigna Parroco,88,18,Piedmont,Barbera d'Alba,,Barbera,Cascina del Monastero
Italy,Vigna Parroco,88,28,Piedmont,Barbera d'Alba,,Barbera,Cascina del Monastero
Italy,Vignassa,88,,Piedmont,Barbera d'Asti Superiore,,Barbera,Cascina La Ghersa
France,,88,18,Provence,Bandol,,Rosé,Domaine Sorin
US,Steinbeck Vineyard - Wine-Bush Vineyard,88,24,California,Paso Robles,Central Coast,Zinfandel,Eberle
US,Artisan Blend Red,88,36,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Foundry Vineyards
Italy,Porlapà,88,28,Piedmont,Barbera d'Asti Superiore,,Barbera,Alfonso Boeri
Italy,Ca d'Galdin,88,,Piedmont,Barbera d'Asti,,Barbera,Bersano
New Zealand,Pathway,88,,Marlborough,,,Sauvignon Blanc,Ara
Italy,I Patriarchi,88,14,Piedmont,Barbera d'Alba Superiore,,Barbera,Francone
Italy,Rochettevino,88,25,Piedmont,Dolcetto d'Alba,,Dolcetto,Gianni Voerzio
Italy,Boschetto Vecchio,88,24,Piedmont,Barbera d'Asti Superiore,,Barbera,Guasti Clemente
South Africa,Art House Viognier-Chenin Blanc-Sauvignon Blanc,88,16,Western Cape,,,White Blend,Juno
US,Penny Lane Vineyard,88,35,California,Oakville,Napa,Sangiovese,Venge
US,Bench Blend,88,35,California,Napa Valley,Napa,Chardonnay,William Hill Estate
US,Ex Anima,88,29,California,Monterey,Central Coast,Chardonnay,Wrath
US,Stonetree Vineyard,88,20,Washington,Columbia Valley (WA),Columbia Valley,Zinfandel,Angel Vine
Italy,Vigneto San Giuseppe,88,,Piedmont,Barbera d'Alba,,Barbera,Andrea Oberto
Italy,,88,,Piedmont,Dolcetto d'Asti,,Dolcetto,Araldica
Chile,Family Selection Gran Reserva,88,15,Colchagua Valley,,,Shiraz,Luis Felipe Edwards
US,Cutt,88,30,California,Napa Valley,Napa,Syrah,Hunnicutt
New Zealand,,88,16,Marlborough,,,Sauvignon Blanc,Konrad
Australia,,88,29,South Australia,Clare Valley,,Cabernet Sauvignon,Koonowla
US,Paraiso Vineyard,88,50,California,Santa Lucia Highlands,Central Coast,Pinot Noir,La Rochelle
New Zealand,,88,13,Marlborough,,,Sauvignon Blanc,Brancott
France,,88,14,Southwest France,Vin de Pays des Côtes de Gascogne,,Chardonnay,Domaine du Tariquet
Chile,Natura,88,11,Central Valley,,,Carmenère,Emiliana
US,Heritage Tree Vineyard Estate Rosé of,88,20,California,Dry Creek Valley,Sonoma,Syrah,Gustafson Family
Italy,Tizzonero,86,,Central Italy,Umbria,,Red Blend,La Carraia
Argentina,Single Vineyard Reserva,86,17,Mendoza Province,Agrelo,,Cabernet Franc,Lamadrid
US,,86,110,California,Napa Valley,Napa,Red Blend,Boyanci
Spain,,86,11,Northern Spain,Rioja,,Viura,El Coto
Spain,Moscatel de la Marina,86,19,Levante,Alicante,,Moscatel,Enrique Mendoza
Portugal,Conde de Vimioso Colheita Seleccionada,86,9,Tejo,,,Portuguese White,Falua
US,Heritage Block Rosé of,86,20,California,Alexander Valley,Sonoma,Petite Sirah,Field Stone
Portugal,Portada Winemaker's Selection,86,7,Lisboa,,,Portuguese Red,DFJ Vinhos
Portugal,Paxis Branco,86,8,Lisboa,,,Arinto,DFJ Vinhos
France,Sabine,86,,Provence,Coteaux d'Aix-en-Provence,,Rosé,Bieler Père et Fils
US,,86,19,California,Sonoma County,Sonoma,Cabernet Sauvignon,Chime
France,,86,12,Southwest France,Bergerac,,Bordeaux-style Red Blend,Château de la Jaubertie
US,Conservancy,86,15,California,Livermore Valley,Central Coast,Merlot,Concannon
US,Estate Grown,86,28,California,Santa Maria Valley,Central Coast,Pinot Noir,Riverbench
France,Croix de Basson,86,,Provence,Côtes de Provence,,Rosé,Vignerons de Correns
US,,86,42,California,Russian River Valley,Sonoma,Pinot Noir,Sonoma-Loeb
US,337,86,15,California,Lodi,Central Valley,Cabernet Sauvignon,Noble Vines
US,Del Arroyo Vineyard,86,18,California,Livermore Valley,Central Coast,Sauvignon Blanc,Occasio
US,,86,55,California,Sonoma Mountain,Sonoma,Cabernet Sauvignon,Peters Family
Italy,Le Zere,86,,Tuscany,Maremma,,White Blend,Pieve Vecchia
Italy,Bianco Fiordaliso,86,12,Central Italy,Umbria,,White Blend,Roccafiore
Spain,Absidis Brut,86,16,Catalonia,Cava,,Sparkling Blend,Masia Puigmoltó
US,Annabella,86,17,California,Sonoma Coast,Sonoma,Pinot Noir,Michael Pozzan
Spain,,86,18,Northern Spain,Bierzo,,Mencía,V&N; Cellars
US,,86,15,California,Yorkville Highlands,North Coast,Sauvignon Blanc,Wattle Creek
Spain,Tintico,85,8,Northern Spain,Navarra,,Tempranillo,Castillo de Monjardin
France,La Vieille Eglise Réserve,85,13,Southwest France,Côtes du Marmandais,,Red Blend,Cave du Marmandais
Portugal,Aliança,85,,Vinho Verde,,,Portuguese White,Caves Aliança
France,,85,13,Southwest France,Bergerac Sec,,Bordeaux-style White Blend,Château Bélingard
US,,85,16,California,Dry Creek Valley,Sonoma,Sauvignon Blanc,Dry Creek Vineyard
France,,84,11,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Yvecourt
US,,84,18,California,Paso Robles,Central Coast,Zinfandel,EOS
US,,84,18,California,Paso Robles,Central Coast,Cabernet Sauvignon,Bishop's Peak
Italy,Ciabot Camerano,84,18,Piedmont,Barbera d'Alba,,Barbera,Marcarini
Italy,,84,26,Piedmont,Nebbiolo d'Alba,,Nebbiolo,Poderi Colla
US,,84,30,California,North Coast,North Coast,Cabernet Sauvignon,Silver Palm
US,,84,20,California,Napa Valley,Napa,Merlot,Beringer
US,Southern Exposure,84,35,California,Shenandoah Valley (CA),Sierra Foothills,Zinfandel,C.G. di Arie
Italy,,84,16,Piedmont,Langhe,,Arneis,Cascina Bongiovanni
Italy,Bricco Bastia,84,23,Piedmont,Dolcetto d'Alba,,Dolcetto,Conterno Fantino
Italy,,84,30,Piedmont,Nebbiolo d'Alba,,Nebbiolo,Pio Cesare
Italy,,84,21,Piedmont,Dolcetto d'Alba,,Dolcetto,Pio Cesare
US,Marsha's Vineyard,84,22,California,Russian River Valley,Sonoma,Viognier,Parkmon
Italy,Cascina Pioiero,84,17,Piedmont,Roero Arneis,,Arneis,Pioiero
Italy,,84,10,Piedmont,Piedmont,,Cortese,Castelvero
France,Sauvignon Blanc,84,10,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Caves Fleury
France,,84,12,Bordeaux,Entre-Deux-Mers,,Bordeaux-style White Blend,Château Lestrille
US,Rockin' One,84,42,California,Paso Robles,Central Coast,Rhône-style Red Blend,Cass
US,,84,20,California,Mendocino County,Mendocino/Lake Counties,Grenache,Eaglepoint Ranch
US,Harmony,84,45,California,Santa Barbara County,Central Coast,Syrah,Vixen
US,,84,22,California,Napa Valley,Napa,Syrah,Waterstone
New Zealand,,84,12,Marlborough,,,Sauvignon Blanc,Zeal
US,Reserve,84,23,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Snoqualmie
US,Rosso Red Spumante,84,8,California,California,California Other,Sparkling Blend,Ballatore
US,Vintage,84,35,California,Lodi,Central Valley,Port,Barreto
US,Babcock Ranch,84,16,California,Suisun Valley,North Coast,Viognier,Bask
US,,84,20,California,Napa Valley,Napa,Pinot Noir,Beringer
US,Cuvée 20 Brut,84,30,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
Argentina,Grand Reserve,84,20,Other,San Juan,,Malbec,Graffigna
US,Quail Series,84,9,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Covey Run
US,Estate Grown,90,36,California,Carneros,Napa-Sonoma,Pinot Noir,Robert Stemmler
US,,90,28,Washington,Yakima Valley,Columbia Valley,Mourvèdre,McCrea Cellars
Italy,Buio Buio,90,40,Sicily & Sardinia,Isola dei Nuraghi,,Carignano,Mesa
Italy,Vigneti del Parco,90,,Central Italy,Conero Riserva,,Montepulciano,Moncaro
Italy,Noi,90,38,Central Italy,Colli di Rimini,,Red Blend,San Patrignano
US,Paragon Vineyard,90,13,California,Edna Valley,Central Coast,Sauvignon Blanc,Tangent
US,Victories,90,20,California,California,California Other,Rosé,Fleming Jenkins
Italy,Redinoce,90,36,Central Italy,Forlì,,Sangiovese,Balía di Zola
Italy,San Giorgio,90,62,Central Italy,Umbria,,Red Blend,Lungarotti
Italy,,90,35,Central Italy,Montefalco Rosso,,Red Blend,Lungarotti
US,The Boy,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Grenache,K Vintners
US,,90,50,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,La Crema
New Zealand,,90,32,Central Otago,,,Pinot Gris,Lamont
Chile,Cuvée Alexandre Atalayas Vineyard,90,24,Casablanca Valley,,,Chardonnay,Lapostolle
Chile,Armador,90,13,Maipo Valley,,,Cabernet Sauvignon,Odfjell
US,Solomon Hills Vineyard,90,30,California,Santa Maria Valley,Central Coast,Chardonnay,Ojai
France,En Grands Champs,90,164,Loire Valley,Sancerre,,Pinot Noir,Alphonse Mellot
US,Raymondo Vineyard,90,42,California,Sonoma Coast,Sonoma,Pinot Noir,Baker Lane
US,,90,38,California,Napa Valley,Napa,Merlot,Chappellet
US,Reserve,90,48,California,Napa Valley,Napa,Petite Verdot,Bourassa Vineyards
Italy,Classico,90,73,Sicily & Sardinia,Isola dei Nuraghi,,Vermentino,Capichera
New Zealand,,90,35,Marlborough,,,Pinot Noir,Cloudy Bay
Australia,Cyril Henschke,90,110,South Australia,Eden Valley,,Cabernet Sauvignon,Henschke
Chile,Cuvée Alexandre Apalta Vineyard,90,24,Colchagua Valley,,,Cabernet Sauvignon,Lapostolle
US,D'Adamo Vineyard,90,75,California,Napa Valley,Napa,Cabernet Sauvignon,Piña
US,,90,28,Washington,Wahluke Slope,Columbia Valley,Cabernet Franc,Nefarious Cellars
South Africa,,90,20,Stellenbosch,,,Chardonnay,Neil Ellis
US,Wolff Vineyard,90,44,California,Edna Valley,Central Coast,Pinot Noir,Summerland
Italy,Tre Saggi,90,19,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Talamonti
US,Talcott Vineyard,90,20,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Seven Hills
Italy,Brut,87,,Lombardy,Franciacorta,,Sparkling Blend,Barone Pizzini
Italy,Cuvée Brut,87,17,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Carpenè Malvolti
Italy,Vigneto Dirupo Brut,87,27,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Andreola
Italy,Prior Brut,87,18,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Bortolomiol
US,Cuvee,87,12,California,Central Coast,Central Coast,Red Blend,Liberty School
US,,87,32,California,Napa Valley,Napa,Merlot,M. Autumn
Australia,Seven Sleepers,87,18,South Australia,Barossa Valley,,Red Blend,Kurtz Family
South Africa,Zinfandel - Syrah,87,35,Swartland,,,Red Blend,Lammershoek
US,Tephra Ridge Vineyard,87,40,California,Lake County,Mendocino/Lake Counties,Cabernet Sauvignon,Langtry
Italy,Matiù Brut,87,20,Veneto,Prosecco,,Glera,L'Antica Quercia
France,La Fontaine Aux Enfants,87,30,Alsace,Alsace,,Pinot Blanc,Marc Kreydenweiss
Italy,Extra Dry,87,12,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Le Manzane
Australia,,87,31,South Australia,McLaren Vale,,Tempranillo,Nashwauk
South Africa,,87,20,Elgin,,,Shiraz,Neil Ellis
Italy,Cuvée di Boj,87,15,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Valdo
US,Stoller Vineyard,87,30,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Verve
Australia,,87,16,South Australia,Limestone Coast,,Chardonnay,TLC
US,Francine's Selection Unoaked,87,13,California,Mendocino County,Mendocino/Lake Counties,Chardonnay,Toad Hollow
Italy,Extra Dry,87,19,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Toffoli
US,,87,25,California,Sonoma County,Sonoma,Zinfandel,Rock Wall
Australia,,87,10,Australia Other,Central Ranges,,Sauvignon Blanc-Semillon,Rolling
New Zealand,,87,20,Central Otago,,,Pinot Noir,Mohua
Spain,Brut Reserva,87,18,Catalonia,Cava,,Sparkling Blend,Sabartés
Spain,Crianza Vendimia Seleccionada Finca Valdelayegua,87,19,Northern Spain,Ribera del Duero,,Tempranillo,Prado Rey
Spain,Elite Vendimia Seleccionada,87,29,Northern Spain,Ribera del Duero,,Tinta Fina,Prado Rey
US,Citizen's Cuvée,87,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Westland
France,Château Haut-Meneau La Victoire,87,20,Bordeaux,Premieres Côtes de Blaye,,Bordeaux-style Red Blend,Xavier Flouret
Spain,Reserva,87,40,Northern Spain,Ribera del Duero,,Tempranillo,Viña Vilano
France,Château de Musset,87,,Bordeaux,Lalande de Pomerol,,Bordeaux-style Red Blend,Yvon Mau
France,Spiegel Grand Cru,87,28,Alsace,Alsace,,Pinot Gris,Domaines Schlumberger
US,Dutton Ranch,87,35,California,Russian River Valley,Sonoma,Chardonnay,Dutton-Goldfield
France,,87,22,Loire Valley,Sancerre,,Pinot Noir,Château de Sancerre
US,Dry,87,18,California,Central Coast,Central Coast,Riesling,Claiborne & Churchill
New Zealand,,87,35,Marlborough,,,Chardonnay,Cloudy Bay
Italy,,87,,Tuscany,Chianti Classico,,Sangiovese,Castellinuzza e Piuca
Chile,La Porfia Grand Reserve,87,17,Rapel Valley,,,Cabernet Sauvignon,Botalcura
US,,87,28,California,Napa Valley,Napa,Zinfandel,Bourassa Vineyards
Italy,,87,26,Tuscany,Chianti Classico,,Sangiovese,Badia a Coltibuono
US,,87,32,California,Santa Barbara County,Central Coast,Pinot Noir,Longoria
US,,87,45,California,Napa Valley,Napa,Syrah,Joseph Phelps
South Africa,,87,12,Stellenbosch,,,Chenin Blanc,Kanu
Italy,Riserva,87,,Tuscany,Chianti Classico,,Sangiovese,Lamole di Lamole
Australia,Steingarten,87,28,South Australia,Barossa,,Riesling,Jacob's Creek
New Zealand,,87,13,Marlborough,,,Sauvignon Blanc,Starborough
Chile,,87,20,Casablanca Valley,,,Chardonnay,Veranda
Italy,,87,,Tuscany,Chianti Classico,,Sangiovese,Villa Cerna
South Africa,,87,35,Coastal Region,,,Syrah,The Foundry
Chile,Armador,87,13,Maipo Valley,,,Carmenère,Odfjell
US,Hall Ranch Rosé de Robles,87,15,California,Paso Robles,Central Coast,Rosé,Robert Hall
New Zealand,,87,18,Nelson,,,Sauvignon Blanc,Seifried
Italy,,87,24,Tuscany,Chianti Classico,,Sangiovese,San Fabiano Calcinaia
US,,87,34,California,Sonoma County,Sonoma,Zinfandel,Adobe Road
Italy,,87,14,Tuscany,Vernaccia di San Gimignano,,Vernaccia,Agricoltori del Chianti Geografico
Chile,Reserva,87,11,Bío Bío Valley,,,Sauvignon Blanc,Agustinos
South Africa,,87,13,Stellenbosch,,,Chardonnay,Beau Joubert
South Africa,,87,15,Constantia,,,Sauvignon Blanc,Buitenverwachting
Italy,,87,16,Tuscany,Vernaccia di San Gimignano,,Vernaccia,Ca' del Vispo
Chile,Reserva,87,9,Maule Valley,,,Merlot,Calina
New Zealand,Destination Series,87,15,Marlborough,,,Sauvignon Blanc,Crossroads
US,Baldacci Ranch Old Vine,87,48,California,Russian River Valley,Sonoma,Zinfandel,D'Argenzio
US,Paragon Vineyard,91,13,California,Edna Valley,Central Coast,Sauvignon Blanc,Tangent
Argentina,Henry Lagarde Single Vineyard,91,20,Mendoza Province,Mendoza,,Malbec,Lagarde
France,CQFD,91,,Southwest France,Cahors,,Malbec,Clos Troteligotte
Italy,,91,36,Piedmont,Barolo,,Nebbiolo,Duchessa Lia
Italy,Riserva,91,55,Piedmont,Gattinara,,Nebbiolo,Dessilani
US,La Entrada,91,33,California,Edna Valley,Central Coast,Pinot Noir,Baileyana
US,IV Sons,91,35,California,Stags Leap District,Napa,Cabernet Sauvignon,Baldacci
Australia,Oracle,91,70,South Australia,Clare Valley,,Shiraz,Kilikanoon
US,,91,27,California,Dry Creek Valley,Sonoma,Petite Sirah,Kokomo
Spain,Prestigio,91,27,Northern Spain,Toro,,Tinta de Toro,Cyan
US,,91,30,California,Napa Valley,Napa,Bordeaux-style Red Blend,Decoy
France,Optimum,91,21,Southwest France,Fronton,,Red Blend,Château Bellevue la Forêt
France,Prestige,91,,Southwest France,Cahors,,Malbec,Château Haut-Monplaisir
US,,91,35,California,Carneros,Napa-Sonoma,Cabernet Sauvignon,Truchard
Italy,,91,61,Piedmont,Barolo,,Nebbiolo,Pio Cesare
Italy,Sorì del Rovere,91,,Piedmont,Barolo,,Nebbiolo,San Biagio
US,Salzgeber Vineyard,91,50,California,Russian River Valley,Sonoma,Pinot Noir,WesMar
Italy,Famiglia Anselma,90,,Piedmont,Barolo,,Nebbiolo,Anselma
Spain,,90,30,Northern Spain,Valdeorras,,Godello,Avanthia
US,Limited Selection,90,48,California,Sta. Rita Hills,Central Coast,Pinot Noir,Gainey
US,Colson Canyon Vineyard,90,35,California,Santa Barbara County,Central Coast,Syrah,Brander
Spain,Abadia de San Quirce Reserva,90,45,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Imperiales
Australia,The Vincent,90,55,South Australia,McLaren Vale,,Shiraz,Tapestry
US,Filigreen Vineyard,90,47,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Segue
